course_id,slug,title,product_status,note
627,rappel-express1,Cours : Rappel-Express,,no_product_link
703,preparation-a-lagilite-par-le-jeu,Cours : Préparation à l'agilité par le jeu,,no_product_link
3285,ethique-et-bien-etre-animal,Séminaire : Éthique et bien-être animal,,no_product_link
5152,seminaire-prevention-morsures,Prévention des morsures - Vivez-vous auprès d'une bombe à retardement ?,,no_product_link
6004,cours-en-marche1,Cours : Sans Tension! - votre cours sur la marche en laisse,,no_product_link
8823,webinaire-questions-et-reponses-sur-le-rappel,Webinaire - Questions et Réponses sur le Rappel !,,no_product_link
8872,cours-focus-denfer,Cours : Focus d'Enfer! votre cours sur les jeux d'attention,,no_product_link
9673,seminaire-biais-cognitifs-illogismes-et-persuasion,"Séminaire : Biais cognitifs, illogismes et persuasion!",,no_product_link
11113,cours-trucs-et-tours,"Cours : Trucs et Tours! Intro au leurre, au shaping et à la fantaisie",,no_product_link
12228,webinaire-les-pieges-a-eviter-avec-un-nouveau-chiot,Webinaire - Les pièges à éviter avec un nouveau chiot,,no_product_link
13144,seminaire-jaime-ma-cage,Séminaire : J'aime ma Cage!,,no_product_link
13222,webinaire-questions-reponses-sur-la-reactivite,Webinaire : Chien réactif ? Les 3 erreurs que vous faites (sans même vous en rendre compte) ! (ancien),,no_product_link
14814,webinaire-horreur-mon-chien-tire,"Webinaire - Horreur, mon chien tire!",,no_product_link
16151,seminaire-le-canicross-et-les-sports-atteles,Séminaire : Le canicross et les sports attelés,,no_product_link
20059,harmonie-le-seminaire-sur-la-maisonnee-multi-chiens,Séminaire - Harmonie pour la maisonnée multi-chiens,,no_product_link
21450,webinaire-productivite,Webinaire Pro - Productivité et organisation pour les professionnels du monde canin,,no_product_link
32487,,Séminaire : Le guide complet sur le canicross et les sports canins attelés,,no_product_link
37908,,Mini-séminaire pro - Le Mantrailing : le flair dans tous ses états,,no_product_link
50910,colloque-francophone-sur-le-comportement-animal-canin-ete-2020,Colloque Francophone sur le Comportement Animal & Canin - Été 2020,,no_product_link
56306,,Séminaire : Techniques créatives d'intervention canine «volées» au comportement aviaire,,no_product_link
59899,mini-seminaire-la-mastication-macher-pour-resoudre-certains-problemes-de-comportement,Webinaire - La mastication chez le chien : les 5 erreurs courantes,,no_product_link
65961,mini-seminaire-la-socialisation-du-chiot-un-cauchemar-en-temps-de-pandemie,Webinaire : La socialisation du chiot - Un cauchemar en temps de pandémie,,no_product_link
66237,colloque-francophone-sur-le-comportement-animal-et-canin-edition-2021,Colloque Francophone sur le Comportement Animal et Canin - Édition 2021,,no_product_link
71132,en-direct-mon-chien-mon-athlete-3-jours-de-conferences,"En direct : Mon chien, mon athlète – 3 jours de conférences",,no_product_link
74161,conference-gratuite-venir-a-bout-des-jappements-de-votre-chien,Conférence GRATUITE - Venir à bout des jappements de votre chien !,,no_product_link
75668,cfcac-2022,CFCAC 2022 : Peur & agression chez le chien : 4 jours de formation pour aider les chiens à problèmes,,no_product_link
78931,conference-en-direct-mon-chien-a-mordu-je-fais-quoi-maintenant,"Webinaire - Mon chien a mordu, je fais quoi maintenant ? (ancien)",,no_product_link
79011,,Séminaire : Le fitness canin - Les fondations du chiot au chien âgé,,no_product_link
80054,conference-en-direct-promenades-et-rappel-diminuer-la-frustration-et-ameliorer-le-bien-etre-du-chien,Conférence en direct : Promenades en laisse et rappel - De la frustration à l'harmonie,,no_product_link
84265,,Webinaire : Chien réactif ? Les 3 erreurs que vous faites (sans même vous en rendre compte) ! (2),,no_product_link
89094,cfcac-2023,CFCAC 2023 [Édition Spéciale] 5 jours de formations avancées pour les professionnels et passionnés du domaine animal !,,no_product_link
95243,seminaire-pratique-virtuel-mon-chien-de-berger-incompris-2,[Séminaire pratique virtuel] : Mon chien de berger incompris,,no_product_link
96057,,Webinaire - L'intervenant du futur : les consultations par visioconférence ! V2,,no_product_link
96096,,Webinaire - Comment résoudre le casse-tête de vos finances ?,,no_product_link
100574,,Mini-séminaire pro - Comment résoudre le casse-tête de vos finances? (V2),,no_product_link
100730,,Séminiare : Réduction du stress en milieu clinique (V2),,no_product_link
100750,,Webinaire - Le chaînon manquant (V2),,no_product_link
103991,7-conferences-comportement-canin,Pack de 7 conférences inédites sur le comportement canin,,no_product_link
107781,cfcac-2024-edition-speciale-6-jours-de-formations-avancees-pour-les-professionnels-et-passionnes-du-domaine-animal,CFCAC 2024 [Édition Spéciale] 6 jours de formations avancées pour les professionnels et passionnés du domaine animal !,,no_product_link
115158,,dsafagdsafdsa,,no_product_link
